source,target,weight,likes_totales,tipo_arista
UCQgYjVngJRfPHDLGB5X6ZjA,n8iP75gIpmw,1,0,autor_comento_video
UCQqetiwzzmRNTM5OWuXarGQ,n8iP75gIpmw,1,1,autor_comento_video
UCQqlPPUGqAfWjd-FSh_qn7Q,j43HgwYFKfk,1,0,autor_comento_video
UCQtICyzWmhC5woCtbNgaSmg,n8iP75gIpmw,2,5,autor_comento_video
UCQtSFINs1h6GHkpg9o5kMvg,n8iP75gIpmw,1,12,autor_comento_video
UCQyOePccUP-fIJYzchAgZYw,j43HgwYFKfk,1,0,autor_comento_video
UCRAquv8el-tQ30bN7MlmySQ,j43HgwYFKfk,1,4,autor_comento_video
UCRETAiYdh2dL5ZxB0_N1zDA,n8iP75gIpmw,1,0,autor_comento_video
UCRcSR3Lvn9DZAmJpVPANfZQ,lj983NWyAQY,1,68,autor_comento_video
UCRelkU8JiZBytTzebJxaa-w,n8iP75gIpmw,1,3,autor_comento_video
UCRfkkatKrNtAARnXMMYBGlA,6W4u8sGEnGM,1,0,autor_comento_video
UCRlCV9zSn7avAWh-9_XFWqQ,n8iP75gIpmw,1,1,autor_comento_video
UCRvPToDkkumha7WJAfCDk1A,j43HgwYFKfk,1,0,autor_comento_video
UCRznz9-N3Qc1w-qNdLSIY2Q,lj983NWyAQY,1,14,autor_comento_video
UCSTAUWVc1_82DHYeqOsqEFA,lj983NWyAQY,1,191,autor_comento_video
UCSou6a2OuYGSvPjm5psquyA,n8iP75gIpmw,1,0,autor_comento_video
UCTD6q1nyIe3Y7HhqjaMj72w,n8iP75gIpmw,1,8,autor_comento_video
UCTP3O0rMnc8z8v8jaDQwL0w,n8iP75gIpmw,1,1,autor_comento_video
UCTTILH6QCIxbTnEWxwRqs1g,yLZS3JiEBg8,1,0,autor_comento_video
UCThW2XNsAaBKme5PUt7n-Zg,n8iP75gIpmw,1,0,autor_comento_video
UCTwSut16JyAg3mX6LVUNGqA,n8iP75gIpmw,1,0,autor_comento_video
UCTylKrsqkrBKIqubMu_5N0Q,n8iP75gIpmw,1,1,autor_comento_video
UCUIIIPTVDVHAXqhC_5V6lPA,n8iP75gIpmw,1,0,autor_comento_video
UCUoYsrx1oZnCZ0usbBJn4fA,j43HgwYFKfk,1,1,autor_comento_video
UCV0iizTBoOfdAFX_thfI9BA,n8iP75gIpmw,1,0,autor_comento_video
UCV0lM03g5fg5pbPj97-sAtA,j43HgwYFKfk,1,1,autor_comento_video
UCV3fr-YOixFKCZBbJP1-X4w,6W4u8sGEnGM,5,17,autor_comento_video
UCVC2QugcI1G4RvlCiUqd1aQ,ndAZjHqzzT8,2,0,autor_comento_video
UCVQf0tzL7xRzFJsABVVULpg,PjmxCj-a9Hg,1,0,autor_comento_video
UCVdjCrh4tQoX3haNAZv-n5A,OkXlHx0hx-8,1,3,autor_comento_video
UCVhif9eV0f8plICen2DnpKA,WIUZtitfLRw,1,0,autor_comento_video
UCW-JC6lebVmf2P1dmY_L94g,j43HgwYFKfk,1,0,autor_comento_video
UCW80DaMjQlEUibC98Cot-Dg,j43HgwYFKfk,1,0,autor_comento_video
UCWIZUtKJ636y-4TYrNvok0g,n8iP75gIpmw,1,5,autor_comento_video
UCWWkebAekppaL5b5CNlppuw,JkpVO1hx2f8,1,3,autor_comento_video
UCWaRixDdpgllTBf4V0jPnKQ,6W4u8sGEnGM,2,0,autor_comento_video
UCWoAVGVqCn4xtINCMOTM4jg,j43HgwYFKfk,1,0,autor_comento_video
UCWvntqPQx99k_Z_skWKqNSA,6W4u8sGEnGM,1,2,autor_comento_video
UCXN2s7DwTJm33xO-pNkAdaA,06mFNPU0aB8,1,0,autor_comento_video
UCXO1BBohNWXkK9SBDAG2ySg,yLZS3JiEBg8,1,0,autor_comento_video
UCXSkL3ejZ8qWYyF_M7s_QKA,n8iP75gIpmw,1,0,autor_comento_video
UCXVLc8CmAO813ubM-fLvCDw,yLZS3JiEBg8,1,7,autor_comento_video
UCXXh7yg5KUFIWylTiKVEFKQ,n8iP75gIpmw,2,2,autor_comento_video
UCXgr7vXlRrsaskPdo097kGA,n8iP75gIpmw,1,0,autor_comento_video
UCXl30Y_upRqbti52fmjK4YA,yLZS3JiEBg8,1,0,autor_comento_video
UCXmrpc6Li0spcKxtS0Q_ptg,lj983NWyAQY,1,10,autor_comento_video
UCXr8_5WtGeipe4haOoQDgyQ,n8iP75gIpmw,1,0,autor_comento_video
UCY7Hq7F9Lnucf-Yr6JkHZNw,lj983NWyAQY,1,79,autor_comento_video
UCYN4wSQ1Sx4_LurxLlW7MPg,n8iP75gIpmw,1,0,autor_comento_video
UCYwpX26TrCxq8TvbKGRYLXA,n8iP75gIpmw,1,3,autor_comento_video
UCZ51R_9Q9C0c8I3pAWhtmjQ,n8iP75gIpmw,1,8,autor_comento_video
UCZFQwqh90apuL8eFhvRBkUg,6W4u8sGEnGM,1,9,autor_comento_video
UCZIQnb1fkwe39Iw2TAu-bGA,WIUZtitfLRw,1,1,autor_comento_video
UCZLG9qH0tUjNhEGFIUt0CYw,n8iP75gIpmw,1,1,autor_comento_video
UCZOmq6MwFDVoCaEl99BRRaw,ndAZjHqzzT8,1,0,autor_comento_video
UCZeIIQrGAedW8tCbKWmGY-A,j43HgwYFKfk,1,9,autor_comento_video
UCZjm6U576nX8WOiLhmMR3bw,OkXlHx0hx-8,1,3,autor_comento_video
UC_3xuTXvMIWU5MYP9HkJ3vQ,06mFNPU0aB8,1,4,autor_comento_video
UC_6KbBY1bsYXz9fwFS0eQRg,ndAZjHqzzT8,1,0,autor_comento_video
UC_LYoGs5C3mbZKZuKuqYCvw,j43HgwYFKfk,1,7,autor_comento_video
UC_NRVt2UP88ZNTwzrZ66JSg,UhL9y3KUl8E,1,2,autor_comento_video
UC_ljZ1hZXR9pzexFz87P5ZA,lj983NWyAQY,1,0,autor_comento_video
UCa36MjQLoPAmgJo-R3G8WQA,6W4u8sGEnGM,1,3,autor_comento_video
UCaKAjTW9MVub_clgr4DRYjQ,j43HgwYFKfk,1,6,autor_comento_video
UCaT4saRcyqCLE657Rq2hhZQ,6W4u8sGEnGM,1,0,autor_comento_video
UCaT6M2zp7X6r6Whd8Vv3kHQ,lj983NWyAQY,1,1,autor_comento_video
UCat2qkYvqmtDNEmo2PVuhXw,OkXlHx0hx-8,1,1,autor_comento_video
UCbNanjFI51cwGqMAb2rOrBw,OkXlHx0hx-8,1,0,autor_comento_video
UCbYoNG5J3Au5BqtbXogfEFw,PjmxCj-a9Hg,1,1,autor_comento_video
UCbrtvygfRT6QXqWDNrOf-cA,ndAZjHqzzT8,1,0,autor_comento_video
UCbrtvygfRT6QXqWDNrOf-cA,yLZS3JiEBg8,1,0,autor_comento_video
UCcFIBN-rtC3d3hXeuN5TfWw,yLZS3JiEBg8,1,0,autor_comento_video
UCc_F88PzGWtA1OPNUEASulA,yLZS3JiEBg8,1,0,autor_comento_video
UCcfdg8crmMJwEuLUsAhV7yg,n8iP75gIpmw,1,1,autor_comento_video
UCdFlugHJJa4l3YqWuNRmvXw,is3Mk5oC19g,1,0,autor_comento_video
UCdFlugHJJa4l3YqWuNRmvXw,j43HgwYFKfk,1,0,autor_comento_video
UCdQAuWwyC99MB7Y02Umj26Q,yLZS3JiEBg8,1,0,autor_comento_video
UCe8JZoYkX5oKUZyivHYdXhw,j43HgwYFKfk,1,0,autor_comento_video
UCeDNEtI8_a42bZ47wJiJMwQ,j43HgwYFKfk,1,0,autor_comento_video
UCeQk-WfEA-cJRq4EKeE7TOw,6W4u8sGEnGM,1,0,autor_comento_video
UCefAH1MbvADWUjE9WVcB9EQ,yLZS3JiEBg8,1,0,autor_comento_video
UCf5lnNZF7Qrtli9v4N_23WQ,PjmxCj-a9Hg,1,0,autor_comento_video
UCfM3nrxtTQMY5jFx1v1J4Gg,n8iP75gIpmw,1,0,autor_comento_video
UCfRqgt2O-vjzUDMZY_tnxQw,is3Mk5oC19g,1,0,autor_comento_video
UCfXykdbSU97rj987LDUGfvg,06mFNPU0aB8,1,1,autor_comento_video
UCfjhejO7LZy4doXURa7LZCQ,06mFNPU0aB8,1,0,autor_comento_video
UCfo_yUPzy1f1POwwZxhZ06Q,6W4u8sGEnGM,1,1,autor_comento_video
UCg3eIfd7BrsLEqS0BLkftHA,PjmxCj-a9Hg,3,0,autor_comento_video
UCgGqw4aqMdMVSGkKiMgrJRQ,6W4u8sGEnGM,1,0,autor_comento_video
UCgJNFj5dnxXpcMvmuhZDPxA,j43HgwYFKfk,1,1,autor_comento_video
UCgLrWFdYitoP-b7-PxtUr-w,lj983NWyAQY,1,405,autor_comento_video
UCgLurCo-e019HGODcjXHWCw,lj983NWyAQY,1,2,autor_comento_video
UCgQJgI9vu1FI2dnC9mrFthw,PjmxCj-a9Hg,1,2,autor_comento_video
UCgQw_Sbq3ugruDUKsq1e0-A,j43HgwYFKfk,1,0,autor_comento_video
UCgvw7xIdGFupzpt1Y_BFkEA,n8iP75gIpmw,1,1,autor_comento_video
UCh5ESQvtzyHDhCA7XyekCFA,n8iP75gIpmw,3,4,autor_comento_video
UChT7pzGytNd92Nmvi-zuWog,yLZS3JiEBg8,1,1,autor_comento_video
UChZknRmJkeGeQk0-mQuhDOg,n8iP75gIpmw,1,1,autor_comento_video
UCheEJ5GZuIvV0fj-nXyVwXw,6W4u8sGEnGM,1,0,autor_comento_video
UChep9kVb5gQmpodEEl10Xlg,n8iP75gIpmw,1,0,autor_comento_video
UChgkn5Jt5tWKYMoEOuCjz3Q,n8iP75gIpmw,1,2,autor_comento_video
UChs3tU2BcKOT0CezykvAsGw,n8iP75gIpmw,3,4,autor_comento_video
UChyps3dqY-VY1_wLeq-2lhw,6W4u8sGEnGM,1,14,autor_comento_video
UCi-vPdnpQreC7BkFs40mJGA,lj983NWyAQY,1,35,autor_comento_video
UCi1b_TRQfgO1Z9O2gNGGWNA,n8iP75gIpmw,2,0,autor_comento_video
UCi2KiZq63sRq8Mfbcp-MelQ,OkXlHx0hx-8,6,1,autor_comento_video
UCiC-Jn7wdgyQV4_Urk0DkWQ,j43HgwYFKfk,1,1,autor_comento_video
UCiGRBf2RNF0WRKhRVT7zFoA,n8iP75gIpmw,1,0,autor_comento_video
UCiMythXHsw7eQEMykCdmMUA,n8iP75gIpmw,1,2,autor_comento_video
UCiOZX__1gahg1ypIj0_XG_w,6W4u8sGEnGM,1,1,autor_comento_video
UCipetjeiWj4CZB6EbyYziZg,n8iP75gIpmw,1,0,autor_comento_video
UCj-LL25XJnjxepPKCc3NGog,n8iP75gIpmw,1,1,autor_comento_video
UCjJf-AJKRFFWtiN-CSwkDmA,ndAZjHqzzT8,1,0,autor_comento_video
